34: (ep_len: 43, kl: 0.0307, lr_mult: 0.2963, loss: 4.2286, entropy: 3.8928, EV_old: 0.4550, EV_new: 0.6130, sp_time: 259.9679, train_time: 15.6552)
35: (ep_len: 48, kl: 0.0203, lr_mult: 0.2963, loss: 4.1442, entropy: 3.8993, EV_old: 0.5497, EV_new: 0.7009, sp_time: 227.0866, train_time: 15.7611)
36: (ep_len: 55, kl: 0.0267, lr_mult: 0.2963, loss: 4.1407, entropy: 3.9008, EV_old: 0.5412, EV_new: 0.7112, sp_time: 367.1171, train_time: 15.7819)
37: (ep_len: 60, kl: 0.0294, lr_mult: 0.2963, loss: 4.3945, entropy: 3.9456, EV_old: 0.4000, EV_new: 0.5525, sp_time: 304.3897, train_time: 15.8380)
38: (ep_len: 36, kl: 0.0277, lr_mult: 0.2963, loss: 4.3697, entropy: 3.9528, EV_old: 0.2923, EV_new: 0.5138, sp_time: 193.6635, train_time: 15.9548)
39: (ep_len: 46, kl: 0.0322, lr_mult: 0.2963, loss: 4.3105, entropy: 3.9299, EV_old: 0.4100, EV_new: 0.5758, sp_time: 199.6509, train_time: 16.0185)
40: (ep_len: 30, kl: 0.0241, lr_mult: 0.2963, loss: 4.2887, entropy: 3.9619, EV_old: 0.4490, EV_new: 0.6011, sp_time: 175.2046, train_time: 16.1187)
41: (ep_len: 35, kl: 0.0329, lr_mult: 0.2963, loss: 4.3306, entropy: 3.9156, EV_old: 0.3189, EV_new: 0.4994, sp_time: 192.4515, train_time: 16.0346)
42: (ep_len: 35, kl: 0.0222, lr_mult: 0.2963, loss: 4.3243, entropy: 3.9115, EV_old: 0.3293, EV_new: 0.5152, sp_time: 231.4514, train_time: 16.0471)
43: (ep_len: 41, kl: 0.0258, lr_mult: 0.2963, loss: 4.3258, entropy: 3.9252, EV_old: 0.3272, EV_new: 0.5392, sp_time: 197.4933, train_time: 15.9556)
44: (ep_len: 28, kl: 0.0244, lr_mult: 0.2963, loss: 4.1887, entropy: 3.9021, EV_old: 0.4710, EV_new: 0.6519, sp_time: 132.3020, train_time: 16.0124)
45: (ep_len: 24, kl: 0.0286, lr_mult: 0.2963, loss: 4.1798, entropy: 3.8855, EV_old: 0.4496, EV_new: 0.6463, sp_time: 156.0922, train_time: 16.0196)
46: (ep_len: 37, kl: 0.0425, lr_mult: 0.1975, loss: 4.1953, entropy: 3.9197, EV_old: 0.4074, EV_new: 0.6295, sp_time: 239.8630, train_time: 15.9838)
47: (ep_len: 34, kl: 0.0228, lr_mult: 0.1975, loss: 4.1517, entropy: 3.8581, EV_old: 0.4955, EV_new: 0.6583, sp_time: 170.0041, train_time: 15.9583)
48: (ep_len: 37, kl: 0.0232, lr_mult: 0.1975, loss: 4.1428, entropy: 3.8561, EV_old: 0.4450, EV_new: 0.6250, sp_time: 187.1143, train_time: 15.7645)
49: (ep_len: 30, kl: 0.0226, lr_mult: 0.1975, loss: 4.1468, entropy: 3.8598, EV_old: 0.5041, EV_new: 0.6339, sp_time: 179.3807, train_time: 15.9002)
50: (ep_len: 48, kl: 0.0224, lr_mult: 0.1975, loss: 4.2202, entropy: 3.8955, EV_old: 0.4240, EV_new: 0.6131, sp_time: 252.5029, train_time: 16.0135)
51: (ep_len: 31, kl: 0.0303, lr_mult: 0.1975, loss: 4.3560, entropy: 3.8680, EV_old: 0.1515, EV_new: 0.4643, sp_time: 160.7145, train_time: 15.7951)
52: (ep_len: 40, kl: 0.0233, lr_mult: 0.1975, loss: 4.2812, entropy: 3.8939, EV_old: 0.3322, EV_new: 0.5900, sp_time: 180.8476, train_time: 15.6783)
53: (ep_len: 39, kl: 0.0288, lr_mult: 0.1975, loss: 4.2258, entropy: 3.8637, EV_old: 0.3064, EV_new: 0.5603, sp_time: 181.0856, train_time: 15.7470)
54: (ep_len: 43, kl: 0.0275, lr_mult: 0.1975, loss: 4.1441, entropy: 3.8667, EV_old: 0.3710, EV_new: 0.6446, sp_time: 191.7517, train_time: 15.7591)
55: (ep_len: 40, kl: 0.0225, lr_mult: 0.1975, loss: 4.1545, entropy: 3.8526, EV_old: 0.4214, EV_new: 0.6241, sp_time: 249.8470, train_time: 15.7531)
56: (ep_len: 37, kl: 0.0171, lr_mult: 0.1975, loss: 4.0728, entropy: 3.8436, EV_old: 0.4537, EV_new: 0.7326, sp_time: 209.8561, train_time: 15.7843)
57: (ep_len: 25, kl: 0.0261, lr_mult: 0.1975, loss: 4.1052, entropy: 3.8492, EV_old: 0.4666, EV_new: 0.6768, sp_time: 172.2862, train_time: 15.8491)
58: (ep_len: 26, kl: 0.0236, lr_mult: 0.1975, loss: 4.0474, entropy: 3.8181, EV_old: 0.4267, EV_new: 0.6766, sp_time: 124.4075, train_time: 15.6522)
59: (ep_len: 23, kl: 0.0133, lr_mult: 0.1975, loss: 3.9646, entropy: 3.7835, EV_old: 0.6272, EV_new: 0.7879, sp_time: 148.2259, train_time: 15.7168)
60: (ep_len: 26, kl: 0.0169, lr_mult: 0.1975, loss: 3.9542, entropy: 3.7535, EV_old: 0.5646, EV_new: 0.7305, sp_time: 149.1679, train_time: 15.6088)
61: (ep_len: 44, kl: 0.0204, lr_mult: 0.1975, loss: 4.0371, entropy: 3.8210, EV_old: 0.5463, EV_new: 0.7346, sp_time: 318.3820, train_time: 15.7245)
62: (ep_len: 24, kl: 0.0211, lr_mult: 0.1975, loss: 3.9750, entropy: 3.8522, EV_old: 0.6234, EV_new: 0.7883, sp_time: 112.4271, train_time: 15.7661)
63: (ep_len: 33, kl: 0.0358, lr_mult: 0.1975, loss: 3.9506, entropy: 3.8106, EV_old: 0.6145, EV_new: 0.7846, sp_time: 170.1680, train_time: 15.6208)
64: (ep_len: 23, kl: 0.0228, lr_mult: 0.1975, loss: 3.9001, entropy: 3.8158, EV_old: 0.7215, EV_new: 0.8442, sp_time: 149.8321, train_time: 15.8671)
65: (ep_len: 23, kl: 0.0202, lr_mult: 0.1975, loss: 3.8931, entropy: 3.7915, EV_old: 0.6922, EV_new: 0.8327, sp_time: 145.5293, train_time: 15.8512)
66: (ep_len: 29, kl: 0.0204, lr_mult: 0.1975, loss: 3.8834, entropy: 3.7918, EV_old: 0.6912, EV_new: 0.8054, sp_time: 131.2948, train_time: 15.7856)
67: (ep_len: 24, kl: 0.0155, lr_mult: 0.1975, loss: 3.8278, entropy: 3.7596, EV_old: 0.6895, EV_new: 0.8506, sp_time: 115.3007, train_time: 15.8240)
68: (ep_len: 25, kl: 0.0139, lr_mult: 0.1975, loss: 3.8648, entropy: 3.7255, EV_old: 0.6252, EV_new: 0.7631, sp_time: 123.6149, train_time: 15.9255)
69: (ep_len: 32, kl: 0.0203, lr_mult: 0.1975, loss: 3.9135, entropy: 3.7422, EV_old: 0.6119, EV_new: 0.7581, sp_time: 168.8066, train_time: 15.8122)
70: (ep_len: 36, kl: 0.0301, lr_mult: 0.1975, loss: 3.9324, entropy: 3.7333, EV_old: 0.5118, EV_new: 0.7413, sp_time: 165.4992, train_time: 15.7837)
71: (ep_len: 28, kl: 0.0258, lr_mult: 0.1975, loss: 3.8645, entropy: 3.7278, EV_old: 0.5875, EV_new: 0.7249, sp_time: 132.5167, train_time: 15.8379)
72: (ep_len: 21, kl: 0.0234, lr_mult: 0.1975, loss: 3.8542, entropy: 3.7062, EV_old: 0.5817, EV_new: 0.7445, sp_time: 99.9709, train_time: 15.7941)
73: (ep_len: 38, kl: 0.0257, lr_mult: 0.1975, loss: 3.8118, entropy: 3.6417, EV_old: 0.6323, EV_new: 0.7639, sp_time: 190.3234, train_time: 15.7405)
74: (ep_len: 37, kl: 0.0251, lr_mult: 0.1975, loss: 3.8723, entropy: 3.7296, EV_old: 0.6409, EV_new: 0.7747, sp_time: 223.1224, train_time: 19.1474)
75: (ep_len: 23, kl: 0.0157, lr_mult: 0.1975, loss: 3.7806, entropy: 3.7164, EV_old: 0.7468, EV_new: 0.8323, sp_time: 105.1684, train_time: 15.6114)
76: (ep_len: 47, kl: 0.0125, lr_mult: 0.1975, loss: 3.7906, entropy: 3.6672, EV_old: 0.6254, EV_new: 0.7909, sp_time: 240.5970, train_time: 15.5302)
77: (ep_len: 30, kl: 0.0191, lr_mult: 0.1975, loss: 3.8258, entropy: 3.6623, EV_old: 0.6332, EV_new: 0.7374, sp_time: 130.2933, train_time: 15.6209)
78: (ep_len: 54, kl: 0.0174, lr_mult: 0.1975, loss: 3.8509, entropy: 3.6913, EV_old: 0.6543, EV_new: 0.7471, sp_time: 294.2460, train_time: 16.3937)
79: (ep_len: 27, kl: 0.0227, lr_mult: 0.1975, loss: 3.7975, entropy: 3.7012, EV_old: 0.6674, EV_new: 0.7637, sp_time: 137.4286, train_time: 15.6615)
80: (ep_len: 58, kl: 0.0245, lr_mult: 0.1975, loss: 4.0324, entropy: 3.7532, EV_old: 0.4523, EV_new: 0.6097, sp_time: 307.7001, train_time: 15.6161)
81: (ep_len: 18, kl: 0.0441, lr_mult: 0.1317, loss: 3.8530, entropy: 3.6665, EV_old: 0.5279, EV_new: 0.7291, sp_time: 110.7885, train_time: 15.5615)
82: (ep_len: 35, kl: 0.0301, lr_mult: 0.1317, loss: 3.9254, entropy: 3.7458, EV_old: 0.5790, EV_new: 0.7359, sp_time: 154.9899, train_time: 15.7591)
83: (ep_len: 25, kl: 0.0222, lr_mult: 0.1317, loss: 3.8087, entropy: 3.6712, EV_old: 0.6290, EV_new: 0.7871, sp_time: 115.6497, train_time: 15.5092)
84: (ep_len: 25, kl: 0.0114, lr_mult: 0.1317, loss: 3.7052, entropy: 3.6443, EV_old: 0.6879, EV_new: 0.8177, sp_time: 130.2081, train_time: 15.6306)
85: (ep_len: 43, kl: 0.0144, lr_mult: 0.1317, loss: 3.8154, entropy: 3.6239, EV_old: 0.5898, EV_new: 0.7592, sp_time: 175.7561, train_time: 15.5877)
86: (ep_len: 31, kl: 0.0125, lr_mult: 0.1317, loss: 3.8009, entropy: 3.6513, EV_old: 0.6047, EV_new: 0.7668, sp_time: 185.0405, train_time: 15.5595)
